"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x24742040","x1324464029348229120",2020-11-05 21:30:06,"Xbox","The <U+0001D663><U+0001D65A><U+0001D66D><U+0001D669> <U+0001D65C><U+0001D65A><U+0001D663><U+0001D65A><U+0001D667><U+0001D656><U+0001D669><U+0001D65E><U+0001D664><U+0001D663> of gaming is coming<U+2757> The @Xbox Series X | S will be available only ONLINE on November 10 at 12 PM ET, meaning that you have five days to practice your F5 skills. <U+0001F609> https://t.co/qeBqaX8DPE","Twitter Web App",140,,,,FALSE,TRUE,0,5275,,,,,,,,,,,,,,,,"x17137891 x24742040","Walmart Xbox","en",,,,,,,,,,,,,,,,"x1324431758901846028","The <U+0001D663><U+0001D65A><U+0001D66D><U+0001D669> <U+0001D65C><U+0001D65A><U+0001D663><U+0001D65A><U+0001D667><U+0001D656><U+0001D669><U+0001D65E><U+0001D664><U+0001D663> of gaming is coming<U+2757> The @Xbox Series X | S will be available only ONLINE on November 10 at 12 PM ET, meaning that you have five days to practice your F5 skills. <U+0001F609> https://t.co/qeBqaX8DPE",2020-11-05 19:21:52,"Sprinklr Publishing",37572,5275,"x17137891","Walmart","Walmart",1122463,328,576224,"Bentonville, Arkansas","Where real people go for real good stuff. Save Money. Live Better. Customer support questions? @WalmartHelp",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1324464029348229120","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1324441356006117376",2020-11-05 20:00:00,"Xbox","<U+0001F49A> to see it https://t.co/2Pn9X74XLE","Twitter Web App",11,,,,TRUE,FALSE,16047,489,,,,,"twitter.com/IGN/status/132…","https://t.co/2Pn9X74XLE","https://twitter.com/IGN/status/1324407646103998469",,,,,,,,,,,"en","x1324407646103998469","The Xbox Series X launches with new Gears 5 enhancements that truly showcase what the Xbox Series X can handle, and our performance analysis shows just how big the jump in fidelity is. https://t.co/Rnw0FwR6ZP https://t.co/hmib2FYaMQ",2020-11-05 17:46:03,"Khoros Marketing",3910,253,"x18927441","IGN","IGN",7671333,1161,139247,"","We're all about video games, movies, TV, and Bugsnax!",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1324441356006117376","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1324396112870957056",2020-11-05 17:00:14,"Xbox","You know who the best gamer we've seen is? Read that first word again","Twitter Web App",69,,,,FALSE,FALSE,49401,2997,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1324396112870957056","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323678899503472640",2020-11-03 17:30:17,"Xbox","The whole point of a video game is to be entertained and have fun. Don't let anyone ruin that for you","Twitter Web App",101,,,,FALSE,FALSE,79454,9902,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323678899503472640","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323452235385360384",2020-11-03 02:29:36,"Xbox","@DannySalguedo We can't wait to explore Europa!","Sprinklr Publishing",32,"x1323444120321478658","x1309137035136061448","DannySalguedo",FALSE,FALSE,42,2,,,,,,,,,,,,,,,,"x1309137035136061448","DannySalguedo","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323452235385360384","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323446235567693824",2020-11-03 02:05:45,"Xbox","@SR_Smalls_ That's definitely on our list of games we're looking forward to.","Sprinklr Publishing",64,"x1323345908587704320","x1216136196524584960","SR_Smalls_",FALSE,FALSE,29,1,,,,,,,,,,,,,,,,"x1216136196524584960","SR_Smalls_","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323446235567693824","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323445223394082819",2020-11-03 02:01:44,"Xbox","@Masterman444 Excellent choices.","Sprinklr Publishing",18,"x1323426825511424000","x2656282248","Masterman444",FALSE,FALSE,12,0,,,,,,,,,,,,,,,,"x2656282248","Masterman444","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323445223394082819","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323442631196712960",2020-11-03 01:51:26,"Xbox","@glugite You'll have an incredible first experience. We're sort of envious, to be honest!","Sprinklr Publishing",80,"x1323426791076188160","x2885699311","glugite",FALSE,FALSE,15,0,,,,,,,,,,,,,,,,"x2885699311","glugite","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323442631196712960","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323440232788799490",2020-11-03 01:41:54,"Xbox","@JayBrotatoe Oh, you should share that.","Sprinklr Publishing",26,"x1323428285607481350","x313602738","JayBrotatoe",FALSE,FALSE,19,0,,,,,,,,,,,,,,,,"x313602738","JayBrotatoe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323440232788799490","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323440142221217792",2020-11-03 01:41:32,"Xbox","@JustSomeBryan No doubt it will! That'll make a great first test run.","Sprinklr Publishing",54,"x1323433532983631872","x941563256019316736","JustSomeBryan",FALSE,FALSE,10,0,,,,,,,,,,,,,,,,"x941563256019316736","JustSomeBryan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323440142221217792","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323439997991723009",2020-11-03 01:40:58,"Xbox","@MartinezDom36 Hey, happy birthday!","Sprinklr Publishing",20,"x1323432337003089927","x1957910738","MartinezDom36",FALSE,FALSE,248,0,,,,,,,,,,,,,,,,"x1957910738","MartinezDom36","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323439997991723009","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323432206405111811",2020-11-03 01:10:00,"Xbox","@Dvastator The third option, play both.","Sprinklr Publishing",28,"x1323420079925698561","x243888476","Dvastator",FALSE,FALSE,17,1,,,,,,,,,,,,,,,,"x243888476","Dvastator","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323432206405111811","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323431735418220545",2020-11-03 01:08:08,"Xbox","The future of gaming at Xbox revolves around you https://t.co/AIF5FzEIJo","Twitter Media Studio",48,,,,FALSE,FALSE,15867,1280,,,,,,,,"http://pbs.twimg.com/media/El3FLjeVMAEtbUn.jpg","https://t.co/AIF5FzEIJo","https://twitter.com/Xbox/status/1323431735418220545/video/1","photo","http://pbs.twimg.com/media/El3FLjeVMAEtbUn.jpg","https://t.co/AIF5FzEIJo","https://twitter.com/Xbox/status/1323431735418220545/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323431735418220545","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323431558800412674",2020-11-03 01:07:26,"Xbox","@DanHevia Taco ‘bout a good way to start the week <U+0001F32E> Congratulations!","Sprinklr Publishing",58,"x1323309040332611584","x25144151","DanHevia",FALSE,FALSE,17,1,,,,,,,,,,,,,,,,"x25144151","DanHevia","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323431558800412674","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
