Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Ref.
Aragami 2,"Action-adventure
stealth",Lince Works,Lince Works,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Assassin's Creed Valhalla,Action role-playing,Ubisoft Montreal,Ubisoft,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Astro's Playroom,3D platformer,SIE Japan Studio,Sony Interactive Entertainment,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Atelier Ryza 2: Lost Legends & the Secret Fairy,Role-playing,Gust Co. Ltd.,Koei Tecmo,"<span data-sort-value=""000000002020-12-03-0000"" style=""white-space:nowrap"">Dec 3, 2020","<span data-sort-value=""000000002021-01-26-0000"" style=""white-space:nowrap"">Jan 26, 2021","<span data-sort-value=""000000002021-01-29-0000"" style=""white-space:nowrap"">Jan 29, 2021",CB,
Atomic Heart,First-person shooter,Mundfish,Mundfish,TBA,TBA,TBA,,
Balan Wonderworld,3D platformer,"Balan Company
Arzest",Square Enix,"<span data-sort-value=""000000002021-03-26-0000"" style=""white-space:nowrap"">Mar 26, 2021","<span data-sort-value=""000000002021-03-26-0000"" style=""white-space:nowrap"">Mar 26, 2021","<span data-sort-value=""000000002021-03-26-0000"" style=""white-space:nowrap"">Mar 26, 2021",CB,
Black Legend,Turn-based strategy,Cyanide,Warcave,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[2]
Blood Bowl 3,"Sports
turn-based strategy",Cyanide,Nacon,"<span data-sort-value=""00000000TBA-13-31-0000"">TBA","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[3]
Borderlands 3,"Action role-playing
first-person shooter",Gearbox Software,2K,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB CP,
Braid Anniversary Edition,Puzzle-platformer,Thekla,Thekla,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Bridge Constructor: The Walking Dead,Puzzle,Headup Games,Headup Games,"<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020",CB,
Bugsnax,"Adventure
platform",Young Horses,Young Horses,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Call of Duty: Black Ops Cold War,First-person shooter,"Raven Software
Treyarch",Activision,"<span data-sort-value=""000000002020-11-13-0000"" style=""white-space:nowrap"">Nov 13, 2020","<span data-sort-value=""000000002020-11-13-0000"" style=""white-space:nowrap"">Nov 13, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CP,
Chernobylite,Survival,The Farm 51,All In! Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Chivalry 2,Hack and slash,Torn Banner Studios,"Deep Silver
Tripwire Interactive","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CP,
Chorus,Space combat,Fishlabs,Deep Silver,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Control: Ultimate Edition,"Third-person shooter
action-adventure",Remedy Entertainment,505 Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Cris Tales,"Adventure
role-playing","Dreams Uncorporated
SYCK",Modus Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Cthulhu Saves Christmas,Role-playing,Zeboyd Games,Zeboyd Games,TBA,TBA,TBA,,
Cyberpunk 2077,Action role-playing,CD Projekt Red,CD Projekt,"<span data-sort-value=""000000002020-12-10-0000"" style=""white-space:nowrap"">Dec 10, 2020","<span data-sort-value=""000000002020-12-10-0000"" style=""white-space:nowrap"">Dec 10, 2020","<span data-sort-value=""000000002020-12-10-0000"" style=""white-space:nowrap"">Dec 10, 2020",CB,
CYGNI: All Guns Blazing,Shooter,KeelWorks,KeelWorks,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
"<span data-sort-value=""Dark Pictures Anthology: House of Ashes !"">The Dark Pictures Anthology: House of Ashes","Interactive drama
survival horror",Supermassive Games,Bandai Namco Entertainment,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB,
